,id,shx,vla,hla
0,1,0,0,"-13
"
1,10,0,0,"-5
"
2,12,0,0,"0
"
3,13,0,0,"-4
"
4,14,0,0,"-1
"
5,15,0,0,"-5
"
6,16,0,0,"-3
"
7,17,0,0,"-6
"
8,18,0,0,"-6
"
9,19,0,0,"-10
"
10,2,0,0,"-6
"
11,20,0,0,"-16
"
12,21,0,0,"-10
"
13,22,0,0,"-8
"
14,23,0,0,"-13
"
15,24,0,0,"-10
"
16,25,0,0,"-10
"
17,26,0,-5,"-4
"
18,27,0,0,"0
"
19,28,0,0,"-10
"
20,29,0,0,"-7
"
21,3,0,0,"-10
"
22,30,0,0,"-9
"
23,31,0,0,"-7
"
24,32,0,0,"-11
"
25,33,0,0,"-9
"
26,34,0,0,"-14
"
27,35,0,0,"-14
"
28,36,0,0,"-10
"
29,37,0,0,"-7
"
30,38,0,0,"0
"
31,39,0,0,"0
"
32,4,0,0,"0
"
33,40,0,-9,"-7
"
34,41,0,0,"-6
"
35,42,0,0,"-6
"
36,43,0,0,"-14
"
37,44,0,0,"-18
"
38,45,0,-8,"-23
"
39,46,0,0,"0
"
40,47,0,-8,"0
"
41,48,0,0,"-11
"
42,49,0,0,"-14
"
43,5,0,-7,"-8
"
44,50,0,0,"-6
"
45,51,0,-7,"-12
"
46,52,0,-7,"-8
"
47,53,0,-8,"-13
"
48,54,0,-5,"-5
"
49,55,0,-12,"-11
"
50,56,0,-9,"-9
"
51,6,0,-15,"-7
"
52,7,0,0,"-13
"
53,8,0,0,"-10
"
54,9,0,0,"0
"
