1, shx=0, vla=0, hla=-13
10, shx=0, vla=0, hla=-5
12, shx=0, vla=0, hla=0
13, shx=0, vla=0, hla=-4
14, shx=0, vla=0, hla=-1
15, shx=0, vla=0, hla=-5
16, shx=0, vla=0, hla=-3
17, shx=0, vla=0, hla=-6
18, shx=0, vla=0, hla=-6
19, shx=0, vla=0, hla=-10
2, shx=0, vla=0, hla=-6
20, shx=0, vla=0, hla=-16
21, shx=0, vla=0, hla=-10
22, shx=0, vla=0, hla=-8
23, shx=0, vla=0, hla=-13
24, shx=0, vla=0, hla=-10
25, shx=0, vla=0, hla=-10
26, shx=0, vla=-5, hla=-4
27, shx=0, vla=0, hla=0
28, shx=0, vla=0, hla=-10
29, shx=0, vla=0, hla=-7
3, shx=0, vla=0, hla=-10
30, shx=0, vla=0, hla=-9
31, shx=0, vla=0, hla=-7
32, shx=0, vla=0, hla=-11
33, shx=0, vla=0, hla=-9
34, shx=0, vla=0, hla=-14
35, shx=0, vla=0, hla=-14
36, shx=0, vla=0, hla=-10
37, shx=0, vla=0, hla=-7
38, shx=0, vla=0, hla=0
39, shx=0, vla=0, hla=0
4, shx=0, vla=0, hla=0
40, shx=0, vla=-9, hla=-7
41, shx=0, vla=0, hla=-6
42, shx=0, vla=0, hla=-6
43, shx=0, vla=0, hla=-14
44, shx=0, vla=0, hla=-18
45, shx=0, vla=-8, hla=-23
46, shx=0, vla=0, hla=0
47, shx=0, vla=-8, hla=0
48, shx=0, vla=0, hla=-11
49, shx=0, vla=0, hla=-14
5, shx=0, vla=-7, hla=-8
50, shx=0, vla=0, hla=-6
51, shx=0, vla=-7, hla=-12
52, shx=0, vla=-7, hla=-8
53, shx=0, vla=-8, hla=-13
54, shx=0, vla=-5, hla=-5
55, shx=0, vla=-12, hla=-11
56, shx=0, vla=-9, hla=-9
6, shx=0, vla=-15, hla=-7
7, shx=0, vla=0, hla=-13
8, shx=0, vla=0, hla=-10
9, shx=0, vla=0, hla=0
