,id,shx,vla,hla
0,1,0,0,"-15
"
1,10,0,-4,"-5
"
2,12,0,0,"0
"
3,13,0,0,"-6
"
4,14,0,-4,"0
"
5,15,0,0,"-7
"
6,16,0,-2,"-4
"
7,17,0,-2,"-5
"
8,18,0,-4,"-3
"
9,19,0,-2,"-5
"
10,2,0,0,"0
"
11,20,0,0,"-15
"
12,21,0,-8,"-7
"
13,22,0,-8,"-6
"
14,23,0,-8,"-7
"
15,24,0,-8,"-8
"
16,25,0,-13,"-12
"
17,26,0,-9,"-6
"
18,27,0,0,"-1
"
19,28,0,-1,"-12
"
20,29,-7,0,"-5
"
21,3,-7,-6,"-7
"
22,30,0,0,"-9
"
23,31,-8,-11,"-2
"
24,32,-4,-5,"-4
"
25,33,0,-6,"-4
"
26,34,-5,-5,"-8
"
27,35,0,-4,"-15
"
28,36,0,-7,"-8
"
29,37,0,-5,"-8
"
30,38,0,-8,"-7
"
31,39,-6,-11,"-12
"
32,4,-6,-13,"-8
"
33,40,-5,-9,"-6
"
34,41,-11,-13,"-4
"
35,42,-3,-13,"-4
"
36,43,-6,-13,"-10
"
37,44,-11,-12,"-15
"
38,45,-8,-17,"-15
"
39,46,-7,-9,"8
"
40,47,-2,-16,"4
"
41,48,0,-13,"-7
"
42,49,0,-12,"-7
"
43,5,0,-13,"-4
"
44,50,-4,-13,"0
"
45,51,-2,-16,"-7
"
46,52,-3,-16,"-6
"
47,53,-8,-11,"-8
"
48,54,0,-18,"0
"
49,55,0,-13,"-9
"
50,56,-3,-14,"-7
"
51,6,0,-25,"0
"
52,7,-2,-3,"-7
"
53,8,-3,-3,"-5
"
54,9,0,-5,"2
"
