1, shx=0, vla=0, hla=-15
10, shx=0, vla=-4, hla=-5
12, shx=0, vla=0, hla=0
13, shx=0, vla=0, hla=-6
14, shx=0, vla=-4, hla=0
15, shx=0, vla=0, hla=-7
16, shx=0, vla=-2, hla=-4
17, shx=0, vla=-2, hla=-5
18, shx=0, vla=-4, hla=-3
19, shx=0, vla=-2, hla=-5
2, shx=0, vla=0, hla=0
20, shx=0, vla=0, hla=-15
21, shx=0, vla=-8, hla=-7
22, shx=0, vla=-8, hla=-6
23, shx=0, vla=-8, hla=-7
24, shx=0, vla=-8, hla=-8
25, shx=0, vla=-13, hla=-12
26, shx=0, vla=-9, hla=-6
27, shx=0, vla=0, hla=-1
28, shx=0, vla=-1, hla=-12
29, shx=-7, vla=0, hla=-5
3, shx=-7, vla=-6, hla=-7
30, shx=0, vla=0, hla=-9
31, shx=-8, vla=-11, hla=-2
32, shx=-4, vla=-5, hla=-4
33, shx=0, vla=-6, hla=-4
34, shx=-5, vla=-5, hla=-8
35, shx=0, vla=-4, hla=-15
36, shx=0, vla=-7, hla=-8
37, shx=0, vla=-5, hla=-8
38, shx=0, vla=-8, hla=-7
39, shx=-6, vla=-11, hla=-12
4, shx=-6, vla=-13, hla=-8
40, shx=-5, vla=-9, hla=-6
41, shx=-11, vla=-13, hla=-4
42, shx=-3, vla=-13, hla=-4
43, shx=-6, vla=-13, hla=-10
44, shx=-11, vla=-12, hla=-15
45, shx=-8, vla=-17, hla=-15
46, shx=-7, vla=-9, hla=8
47, shx=-2, vla=-16, hla=4
48, shx=0, vla=-13, hla=-7
49, shx=0, vla=-12, hla=-7
5, shx=0, vla=-13, hla=-4
50, shx=-4, vla=-13, hla=0
51, shx=-2, vla=-16, hla=-7
52, shx=-3, vla=-16, hla=-6
53, shx=-8, vla=-11, hla=-8
54, shx=0, vla=-18, hla=0
55, shx=0, vla=-13, hla=-9
56, shx=-3, vla=-14, hla=-7
6, shx=0, vla=-25, hla=0
7, shx=-2, vla=-3, hla=-7
8, shx=-3, vla=-3, hla=-5
9, shx=0, vla=-5, hla=2
