,id,shx,vla,hla
0,1,0,-8,"-9
"
1,10,0,-9,"-2
"
2,12,-10,-15,"12
"
3,13,0,-1,"-4
"
4,14,0,-5,"1
"
5,15,0,-3,"-7
"
6,16,-3,-8,"1
"
7,17,0,-4,"-5
"
8,18,-6,-7,"-4
"
9,19,0,-4,"-1
"
10,2,0,0,"0
"
11,20,0,0,"0
"
12,21,-6,-16,"-4
"
13,22,0,0,"-3
"
14,23,-10,-11,"-2
"
15,24,-14,-20,"-12
"
16,25,6,-13,"-8
"
17,26,0,-11,"-6
"
18,27,15,-3,"2
"
19,28,0,0,"-3
"
20,29,-6,-1,"2
"
21,3,-4,-12,"-4
"
22,30,-4,0,"-3
"
23,31,-5,-13,"1
"
24,32,-5,-7,"-3
"
25,33,0,-19,"0
"
26,34,-7,-13,"-7
"
27,35,-8,0,"-15
"
28,36,0,-4,"-10
"
29,37,-6,-1,"-6
"
30,38,-7,-4,"-4
"
31,39,-5,-16,"-6
"
32,4,-19,-24,"-6
"
33,40,-10,-13,"-1
"
34,41,-5,-16,"-4
"
35,42,-3,-14,"-3
"
36,43,-11,-8,"-7
"
37,44,-9,0,"-12
"
38,45,-5,-13,"-12
"
39,46,-17,-12,"7
"
40,47,-4,-18,"9
"
41,48,-6,-6,"0
"
42,49,-1,-13,"0
"
43,5,-4,-16,"-9
"
44,50,0,-12,"-4
"
45,51,0,-13,"-1
"
46,52,-10,-18,"-1
"
47,53,0,0,"0
"
48,54,-1,-16,"0
"
49,55,-2,-16,"1
"
50,56,-1,-14,"-3
"
51,6,-9,-32,"0
"
52,7,-11,-17,"-4
"
53,8,-9,-15,"-7
"
54,9,0,-9,"7
"
