1, shx=0, vla=-8, hla=-9
10, shx=0, vla=-9, hla=-2
12, shx=-10, vla=-15, hla=12
13, shx=0, vla=-1, hla=-4
14, shx=0, vla=-5, hla=1
15, shx=0, vla=-3, hla=-7
16, shx=-3, vla=-8, hla=1
17, shx=0, vla=-4, hla=-5
18, shx=-6, vla=-7, hla=-4
19, shx=0, vla=-4, hla=-1
2, shx=0, vla=0, hla=0
20, shx=0, vla=0, hla=0
21, shx=-6, vla=-16, hla=-4
22, shx=0, vla=0, hla=-3
23, shx=-10, vla=-11, hla=-2
24, shx=-14, vla=-20, hla=-12
25, shx=6, vla=-13, hla=-8
26, shx=0, vla=-11, hla=-6
27, shx=15, vla=-3, hla=2
28, shx=0, vla=0, hla=-3
29, shx=-6, vla=-1, hla=2
3, shx=-4, vla=-12, hla=-4
30, shx=-4, vla=0, hla=-3
31, shx=-5, vla=-13, hla=1
32, shx=-5, vla=-7, hla=-3
33, shx=0, vla=-19, hla=0
34, shx=-7, vla=-13, hla=-7
35, shx=-8, vla=0, hla=-15
36, shx=0, vla=-4, hla=-10
37, shx=-6, vla=-1, hla=-6
38, shx=-7, vla=-4, hla=-4
39, shx=-5, vla=-16, hla=-6
4, shx=-19, vla=-24, hla=-6
40, shx=-10, vla=-13, hla=-1
41, shx=-5, vla=-16, hla=-4
42, shx=-3, vla=-14, hla=-3
43, shx=-11, vla=-8, hla=-7
44, shx=-9, vla=0, hla=-12
45, shx=-5, vla=-13, hla=-12
46, shx=-17, vla=-12, hla=7
47, shx=-4, vla=-18, hla=9
48, shx=-6, vla=-6, hla=0
49, shx=-1, vla=-13, hla=0
5, shx=-4, vla=-16, hla=-9
50, shx=0, vla=-12, hla=-4
51, shx=0, vla=-13, hla=-1
52, shx=-10, vla=-18, hla=-1
53, shx=0, vla=0, hla=0
54, shx=-1, vla=-16, hla=0
55, shx=-2, vla=-16, hla=1
56, shx=-1, vla=-14, hla=-3
6, shx=-9, vla=-32, hla=0
7, shx=-11, vla=-17, hla=-4
8, shx=-9, vla=-15, hla=-7
9, shx=0, vla=-9, hla=7
