1, shx=0, vla=-9, hla=-11
10, shx=0, vla=-10, hla=-11
12, shx=0, vla=-9, hla=0
13, shx=-2, vla=-5, hla=-2
14, shx=-3, vla=-6, hla=-1
15, shx=0, vla=-3, hla=-3
16, shx=-2, vla=-7, hla=-2
17, shx=0, vla=-8, hla=-2
18, shx=0, vla=-11, hla=-1
19, shx=4, vla=-8, hla=-5
2, shx=0, vla=-10, hla=-2
20, shx=0, vla=-7, hla=-9
21, shx=0, vla=-16, hla=-6
22, shx=0, vla=-20, hla=-4
23, shx=0, vla=-16, hla=-4
24, shx=0, vla=-13, hla=-2
25, shx=0, vla=-12, hla=-6
26, shx=0, vla=-10, hla=-4
27, shx=0, vla=-1, hla=1
28, shx=0, vla=-1, hla=0
29, shx=0, vla=-7, hla=0
3, shx=0, vla=-12, hla=-6
30, shx=0, vla=-2, hla=-5
31, shx=7, vla=-19, hla=0
32, shx=0, vla=-9, hla=-3
33, shx=2, vla=-13, hla=-3
34, shx=0, vla=-4, hla=-8
35, shx=0, vla=-9, hla=-12
36, shx=3, vla=-16, hla=-10
37, shx=0, vla=-8, hla=-6
38, shx=0, vla=-5, hla=-4
39, shx=0, vla=-10, hla=-10
4, shx=0, vla=-19, hla=-1
40, shx=0, vla=-14, hla=0
41, shx=0, vla=-8, hla=-3
42, shx=0, vla=-16, hla=-2
43, shx=0, vla=-10, hla=-8
44, shx=0, vla=-12, hla=-16
45, shx=0, vla=-18, hla=-13
46, shx=0, vla=-17, hla=9
47, shx=0, vla=-20, hla=8
48, shx=0, vla=-12, hla=-3
49, shx=0, vla=-11, hla=-2
5, shx=0, vla=-15, hla=-4
50, shx=0, vla=-11, hla=0
51, shx=0, vla=-10, hla=-6
52, shx=0, vla=-16, hla=-5
53, shx=0, vla=-12, hla=-8
54, shx=0, vla=-20, hla=0
55, shx=0, vla=-18, hla=0
56, shx=0, vla=-21, hla=-1
6, shx=0, vla=-26, hla=0
7, shx=-2, vla=-11, hla=0
8, shx=0, vla=-6, hla=0
9, shx=0, vla=-10, hla=-1
